key,text,module
Default,Bawaan,
Every Day,Setiap hari,
Every Batch,Setiap Batch,
Enable,Memungkinkan,
Manage Company,Kelola Perusahaan,
Edit Company,Ubah Perusahaan,
Manage Sales Channel,Kelola Channel Penjualan,
Manage Virtual Stock,Kelola Stok Virtual,
Edit Virtual Stock,Edit Stok Virtual,
Create Virtual Stock,Buat Stok Virtual,
Edit Sales Channel,Ubah Channel Penjualan,
Manage Location,Atur Lokasi,
Edit Location,Edit Lokasi,
Manage Location Pickup,Kelola Pengambilan Lokasi,
Edit Location Pickup,Edit Pengambilan Lokasi,
Manage Virtual Location,Kelola Lokasi Virtual,
Edit Virtual Location Mapping,Edit Pemetaan Lokasi Virtual,
Priority Location by Zone,Lokasi Prioritas menurut Zona,
Priority Location by City,Lokasi Prioritas menurut Kota,
Company Code,Kode perusahaan,
Company Name,Nama perusahaan,
Create Company,Buat Perusahaan,
The company has been saved.,Perusahaan telah diselamatkan.,
Netsuite ID,ID Netsuite,
Logistix Credentials Flag,Bendera Kredensial Logistix,
New company has been saved.,Perusahaan baru telah disimpan.,
URL,URL,
Framework,Kerangka,
Rule Type,Jenis Aturan,
No From,Tidak Dari,
No To,Tidak Sampai,
Channel Url,Url Channel,
Create Sales Channel,Buat Channel Penjualan,
The Channel has been saved.,Channel telah disimpan.,
New channel has been saved.,Channel baru telah disimpan.,
Order Shipped,Pesanan dikirimkan,
Add Virtual Stock,Tambahkan Stok Virtual,
The virtual stock has been saved.,Stok virtual telah disimpan.,
Notes,Catatan,
Enable Priority,Aktifkan Prioritas,
Priority Type,Jenis Prioritas,
Minimal Stock,Stok Minimal,
Locations,Lokasi,
Assigned Locations,Lokasi yang Ditetapkan,
New VirtualStock has been saved.,VirtualStock baru telah disimpan.,
Access Token,Token Akses,
End Point,Titik Akhir,
Delta Stock Url,Url Stok Delta,
Auto Confirm Shipment,Konfirmasi Pengiriman Otomatis,
Prio One Store,Toko Prio One,
Split Prio One Store,Split Prio One Store,
Split Shipment Capability,Kemampuan Pengiriman Terpisah,
One Store Priority Only,Prioritas Satu Toko Saja,
Split Shipment With One Store Priority First,Bagi Pengiriman Dengan Prioritas Satu Toko Terlebih Dahulu,
Split Shipment,Pengiriman Terpisah,
Release Stock,Lepaskan Stok,
Send Shipment,Kirim Pengiriman,
Auto Order Reallocation,Realokasi Pesanan Otomatis,
Shipment Webhook,Webhook Pengiriman,
Callback URL on Shipment Complete,URL Panggilan Balik pada Pengiriman Selesai,
Triggered when all shipments of an order are picked up or shipped or delivered. Please fill without base url (ex: oms/webhook/order),Dipicu ketika semua pengiriman pesanan diambil atau dikirim atau dikirim. Silakan isi tanpa url dasar (ex: oms/webhook/order),
Callback URL on Invoice,URL panggilan balik pada Faktur,
Please fill without base url (ex: oms/webhook/order),Silakan isi tanpa url dasar (ex: oms/webhook/order),
Vendor Portal Webhook,Webhook Portal Vendor,
Callback URL for Promotion Rules,URL Panggilan Balik untuk Aturan Promosi,
Triggered when Promotion Rules Created / Updated. Please fill without base url (ex: oms/webhook/order),Dipicu saat Aturan Promosi Dibuat / Diperbarui. Silakan isi tanpa url dasar (ex: oms/webhook/order),
Rma Webhook,Rma Webhook,
Callback URL on Refund,URL Panggilan Balik tentang Pengembalian Dana,
Creditmemo Webhook,Webhook memo kredit,
Callback URL on Creditmemo,URL panggilan balik di Creditmemo,
Marketplace Credentials,Kredensial Marketplace,
Create Location,Buat Lokasi,
Location saved successfully.,Lokasi berhasil disimpan.,
Location Information,informasi lokasi,
Active,Aktif,
Inactive,Tidak Aktif,
Location Name,Nama Lokasi,
Zone,Daerah,
Is Warehouse,Apakah Gudang?,
Use in Frontend,Gunakan di Frontend,
Is Virtual Location,Apakah Lokasi Virtual?,
Is Manage Stock,Apakah Kelola Stok?,
Is Shipment Auto Complete,Apakah Pengiriman Otomatis Selesai?,
Shipper ID,ID pengirim,
Lion Parcel Client Code,Kode Klien Lion Parcel,
Location created successfully.,Lokasi berhasil dibuat.,
Do you want to create source of all products in this location?,Apakah Anda ingin membuat sumber semua produk di lokasi ini?,
Create Location and Source,Buat Lokasi dan Sumber,
Create Location Only,Buat Lokasi Saja,
Parent Location,Lokasi Induk,
Pickup Name,Nama Pengambilan,
Pickup Type,Jenis Pengambilan,
Pickup Description,Deskripsi Pengambilan,
Pickup Phone,Angkat telepon,
Pickup Charge,Biaya Pengambilan,
Pickup Fulfillment Time,Waktu Pemenuhan Pengambilan,
Create Location Pickup,Buat Pengambilan Lokasi,
The Location Pickup has been saved.,Pengambilan Lokasi telah disimpan.,
Percentage,Persentase,
Virtual Location,Lokasi virtual,
Map Virtual Location,Petakan Lokasi Virtual,
The virtual location has been saved.,Lokasi virtual telah disimpan.,
The virtual location mapping has been saved.,Pemetaan lokasi virtual telah disimpan.,
Location Zone,Zona Lokasi,
Add New Zone,Tambahkan Zona Baru,
Upload New Zone,Unggah Zona Baru,
The Zone has been saved.,Zona telah disimpan.,
Edit Zone,Edit Zona,
New Zone has been saved.,Zona Baru telah disimpan.,
New Zone,Zona Baru,
Region Name,Nama Wilayah,
Region,Wilayah,
Add Priority Location,Tambahkan Lokasi Prioritas,
Upload Priority Location,Unggah Lokasi Prioritas,
Upload New Priority Location,Unggah Lokasi Prioritas Baru,
The Priority Location by Zone has been saved.,Lokasi Prioritas menurut Zona telah disimpan.,
Edit Priority Location by Zone,Edit Lokasi Prioritas berdasarkan Zona,
New Priority Zone has been saved.,Zona Prioritas Baru telah disimpan.,
New Priority Location by Zone,Lokasi Prioritas Baru berdasarkan Zona,
Create Priority Location,Buat Lokasi Prioritas,
The Priority Location by City has been saved.,Lokasi Prioritas menurut Kota telah disimpan.,
Edit Priority Location by City,Edit Lokasi Prioritas berdasarkan Kota,
Priority Location has been uploaded,Lokasi Prioritas telah diunggah,
Priority Location Upload,Unggah Lokasi Prioritas,
New priority location has been saved.,Lokasi prioritas baru telah disimpan.,
Operational Time for Channel Frontend,Waktu Operasional untuk Channel Frontend,
Pilih Hari,Pilih Hari,
Code for sales channel. You can use an initial name as code or anything else.,Kode untuk channel penjualan. Anda dapat menggunakan nama awal sebagai kode atau apa pun.,
"Sales channel full name, can include marketplace or website name.","Nama lengkap channel penjualan, dapat menyertakan nama marketplace atau situs web.",
URL for website or marketplace store.,URL untuk situs web atau toko marketplace.,
Token to access channels API.,Token untuk mengakses API channel.,
Software platform used by sales channels.,Platform perangkat lunak yang digunakan oleh channel penjualan.,
Allocation rules algorithm for routing order or fulfillment order into a specific location.,Algoritme aturan alokasi untuk merutekan pesanan atau pesanan pemenuhan ke lokasi tertentu.,
Virtual stock to use for the channel. Only one virtual stock is allowed to be assigned.,Stok virtual digunakan untuk channel. Hanya satu persediaan virtual yang diizinkan untuk ditetapkan.,
Callback URL when all shipments of an order are picked up or shipped or delivered,URL panggilan balik ketika semua pengiriman pesanan diambil atau dikirim atau dikirim,
Callback URL if the invoice has been created.,URL panggilan balik jika faktur telah dibuat.,
Callback URL when creating cart price rule.,URL panggilan balik saat membuat aturan harga keranjang.,
Callback URL for refund request.,URL panggilan balik untuk permintaan pengembalian dana.,
Callback URL if the credit memo is issued.,URL panggilan balik jika memo kredit diterbitkan.,
Choose Yes to activate auto-confirm for order shipment or choose No to not activate.,Pilih Ya untuk mengaktifkan konfirmasi otomatis untuk pengiriman pesanan atau pilih Tidak untuk tidak mengaktifkan.,
"This option is used to prioritize order allocation or order fulfillment into one location. If you select Yes and there is not enough stock in one location, there will be an allocation not found error status.","Opsi ini digunakan untuk memprioritaskan alokasi pesanan atau pemenuhan pesanan ke dalam satu lokasi. Jika Anda memilih Ya dan tidak ada cukup stok di satu lokasi, akan ada status kesalahan alokasi tidak ditemukan.",
"If on Prio One Store selected Yes, choose No in this field to keep prioritizing order allocation in one location. Or choose Yes if you want to split order allocation into different locations to meet the required stock.","Jika di Prio One Store dipilih Ya, pilih Tidak di kolom ini untuk tetap memprioritaskan alokasi pesanan di satu lokasi. Atau pilih Ya jika Anda ingin membagi alokasi pesanan ke lokasi yang berbeda untuk memenuhi stok yang dibutuhkan.",
Choose when the reserved qty is returned to the total qty because the order is completed/canceled.,Pilih kapan qty yang dipesan dikembalikan ke qty total karena pesanan selesai/dibatalkan.,
Choose when the order status changes to shipping.,Pilih kapan status pesanan berubah menjadi pengiriman.,
Choose Yes to activate auto-order reallocation or choose No to not activate.,Pilih Ya untuk mengaktifkan realokasi pesanan otomatis atau pilih Tidak untuk tidak mengaktifkan.,
"""One Store Priority Only"" means allocate to one store only, if not available mark order as Failed - Allocation not found.","""Hanya Satu Toko Prioritas"" berarti mengalokasikan hanya untuk satu toko, jika tidak tersedia tandai pesanan sebagai Gagal - Alokasi tidak ditemukan.",
"""Split Shipment if One Store Not Available"" means allocate to one store that can fulfill all items. if not available, allocate to more than one store.","""Pengiriman Terpisah jika Satu Toko Tidak Tersedia"" berarti mengalokasikan ke satu toko yang dapat memenuhi semua item. jika tidak tersedia, alokasikan ke lebih dari satu toko.",
""Split Shipment"" means order can be allocate to more than one store.",""Pengiriman Terpisah"" berarti pesanan dapat dialokasikan ke lebih dari satu toko.",
Region of the location.,Wilayah lokasi.,
Choose Yes if the location is a warehouse.,Pilih Ya jika lokasinya adalah gudang.,
Choose Yes to use this location in the frontend website.,Pilih Ya untuk menggunakan lokasi ini di situs web frontend.,
Choose Yes if this location is a virtual location and the selected options in Is Sirclo Warehouse and Is Manage Stock should be No.,Pilih Ya jika lokasi ini adalah lokasi virtual dan opsi yang dipilih di Is Sirclo Warehouse dan Is Manage Stock seharusnya No.,
Priority level used for priority location in order shipping.,Tingkat prioritas digunakan untuk lokasi prioritas dalam pengiriman pesanan.,
(Quantity) Stock that will not be sold for this location. The default qty is 0.,(Jumlah) Stok yang tidak akan dijual untuk lokasi ini. Kuantitas default adalah 0.,
Choose Yes if this location has access to manage stock. The default option is No.,Pilih Ya jika lokasi ini memiliki akses untuk mengelola stok. Opsi default adalah Tidak.,
Choose Yes to enable auto-complete mode in order shipping. The default option is No.,Pilih Ya untuk mengaktifkan mode pelengkapan otomatis dalam pengiriman pesanan. Opsi default adalah Tidak.,
Shipper ID for this location (if available).,ID Pengirim untuk lokasi ini (jika tersedia).,
Credential for Logistix Wahana service (if available).,Kredensial untuk layanan Logistix Wahana (jika tersedia).,
Client code for Lion Parcel service (if available).,Kode klien untuk layanan Lion Parcel (jika tersedia).,
Request New Vendor,Minta Vendor Baru,
"Congratulation, your registration will be processed immediately.","Selamat, pendaftaran Anda akan segera diproses.",
Email not valid!,Email tidak valid!,
FIRST NAME,NAMA DEPAN,
LAST NAME,NAMA KELUARGA,
EMAIL,SUREL,
PASSWORD,KATA SANDI,
CONFIRM PASSWORD,KONFIRMASI SANDI,
ADDRESS,ALAMAT,
COUNTRY,NEGARA,
PROVINCE,PROPINSI,
CITY,KOTA,
TELEPHONE,TELEPON,
COMPANY CODE,KODE PERUSAHAAN,
COMPANY,PERUSAHAAN,
SUBMIT REQUEST,KIRIM PERMINTAAN,
Back to Login Page,Kembali ke Halaman Login,
Dashboard,Dasbor,
All Orders,Semua Pesanan,
Allocating,Mengalokasikan,
Failed,Gagal,
Order Processing,Pemrosesan Pesanan,
Shipment Processing,Pemrosesan Pengiriman,
Invoice,Faktur,
Bulk Tools,Alat Massal,
Export Order,Ekspor Pesanan,
Pick And Pack,Pilih Dan Kemas,
Pick List,Pilih Daftar,
Create Pick by Wave,Buat Pilih dengan Gelombang,
Pack List,Daftar Paket,
Batch List,Daftar Batch,
Create Pick By Batch,Buat Pilihan Berdasarkan Batch,
All Shipment,Semua Pengiriman,
Curbside Pickup,Pengambilan di Tepi Jalan,
Credit Memos,Memo Kredit,
Manage RMA,Kelola RMA,
RMA Statuses,Status RMA,
Catalog,Katalog,
Products,Produk,
Product Bin,Tempat Produk,
Inventory,Inventaris,
Stock Transfer,Transfer Persediaan,
Stock Adjustment,Penyesuaian Persediaan,
Warehouse,Lokasi Toko,
Product Category,Kategori Produk,
Product Attribute Mapping,Pemetaan Atribut Produk,
Product Status,Status Produk,
Product Price,Harga Produk,
Product Promo,Promo Produk,
Masters,Master,
Location Pickup,Pengambilan Lokasi,
Manage Vendor Request,Kelola Permintaan Vendor,
Manage Vendor,Kelola Vendor,
Product Approval,Persetujuan Produk,
Manage Promotion,Kelola Promosi,
Iris Payout,Pembayaran Iris,
Iris Payout Approval,Persetujuan Pembayaran Iris,
Report,Laporan,
Order Report,Laporan Pesanan,
Order SLI Report,Pesan SLI Laporan,
Tools,Peralatan,
CLI Tools,Alat CLI,
Configurations,Konfigurasi,
General,Umum,
Price By Location,Harga Berdasarkan Lokasi,
Logistix,Logistik,
Logistix Provider,Penyedia Logistix,
Pick Pack,Pilih Paket,
Marketplace Adapter,Adaptor Marketplace,
Region Mapping,Pemetaan Wilayah,
TADA,TADA,
Notification,Pemberitahuan,
Open API,Buka API,
All Users,Semua pengguna,
User Group,Grup pengguna,
Quantity has been updated,Kuantitas telah diperbarui,
Pick by Wave - Scan ID,Pilih berdasarkan Gelombang - Pindai ID,
You have picked {{pickList.qtyPicked}} item,Anda telah memilih item {{pickList.qtyPicked}},
required,yg dibutuhkan,
Confirm,Mengonfirmasi,
Back to Pick Item,Kembali ke Memilih Barang,
Pick by Wave,Pilih berdasarkan Gelombang,
Pack by Wave ID,Kemas dengan ID Gelombang,
Picklist was done,Daftar pilihan selesai,
Wave,Melambai,
Date,Tanggal,
Picker,Pemetik,
Total Shipment,Total Pengiriman,
Total SKU,Jumlah SKU,
QTY,QTY,
LOCATION,LOKASI,
items left to pick,item yang tersisa untuk dipilih,
Done Picking,Selesai Memilih,
Pick by Wave ID,Pilih berdasarkan ID Gelombang,
Loc,lokasi,
Qty item to pick,Jumlah item untuk dipilih,
put picked items in,masukkan item yang dipilih,
Slot,slot,
SCAN,PINDAI,
Back to Pick List,Kembali ke Daftar Pilihan,
Pick by Wave List,Pilih berdasarkan Daftar Gelombang,
Wave Number,Nomor Gelombang,
The picking process has been started.,Proses pengambilan sudah dimulai.,
Create Pick by Wave - Manual Order,Buat Pick by Wave - Pesanan Manual,
Order Number,Nomor Pesanan,
Start Picking,Mulai Memilih,
Order Selected,Pesanan Dipilih,
Select Order,Pilih pesanan,
Pick list has been created.,Daftar pilihan telah dibuat.,
Order ready to pick,Pesan siap dipetik,
How would you like to process them?,Bagaimana Anda ingin memprosesnya?,
Auto Generate Pick List,Buat Daftar Pilihan Otomatis,
Select Order Manually,Pilih Pesan Secara Manual,
See Created Pick List,Lihat Daftar Pilihan yang Dibuat,
Scanned successfully,berhasil dipindai,
Back to Wave Items,Kembali ke Item Gelombang,
Start your packing process!,Mulai proses pengepakan Anda!,
Pack by Wave,Paket dengan Gelombang,
Start Packing,Mulai Pengepakan,
ITEM,BARANG,
Done Packing,Selesai Pengepakan,
Start Scanning,Mulai Memindai,
Pack Complete,Paket Lengkap,
Pack Next Shipment,Kemas Pengiriman Berikutnya,
Back to Slot List,Kembali ke Daftar Slot,
Pack by Wave List,Kemas dengan Daftar Gelombang,
Pick Uncomplete,Pilih Belum Selesai,
Pick Complete,Pilih Selesai,
Pack in Progress,Paket sedang berlangsung,
Sorting List,Daftar penyortiran,
Slot No,Slot No,
Shipment Number,Nomor pengiriman,
Parent ID,Identitas orang tua,
Done Sorting,Selesai menyortir,
Pick by Batch - Sorting,Pilih berdasarkan Batch - Sortir,
Input SKU Manually,Masukkan SKU Secara Manual,
Add to,Tambahkan,
Input SKU,Masukkan SKU,
Pick by Batch ID,Pilih berdasarkan ID Batch,
Pick by Batch - Scan ID,Pilih berdasarkan Batch - Pindai ID,
Pick by Batch List,Pilih berdasarkan Daftar Batch,
Pick by Batch - Pick List,Pilih berdasarkan Batch - Pilih Daftar,
Batch Number,Nomor batch,
PickList in Progress,Daftar Pilihan sedang berlangsung,
Start Sorting,Mulai Menyortir,
Batch has been canceled,Batch telah dibatalkan,
Batch,Kelompok,
Are you sure want to cancel this batch?,Yakin ingin membatalkan batch ini?,
Picked by,Dipilih oleh,
Batch has been saved.,Batch telah disimpan.,
Create Pick by Batch - Manual Order,Buat Pick by Batch - Pesanan Manual,
Allocation Status,Status Alokasi,
New batch has been saved.,Batch baru telah disimpan.,
SKU to pick,SKU untuk dipilih,
Create Batch by Picker,Buat Batch oleh Picker,
Create Batch by SKU,Buat Batch berdasarkan SKU,
See Created Batch List,Lihat Daftar Batch yang Dibuat,
Batch by,Batch oleh,
Maximum number of SKU per pick list,Jumlah maksimum SKU per daftar pilihan,
How many picker per batch?,Berapa banyak pemetik per batch?,
Create Pick List,Buat Daftar Pilihan,
Pack by Batch ID,Paket dengan ID Batch,
Scan Batch,Pindai Batch,
Back to Batch Items,Kembali ke Item Batch,
Pack by Batch List,Kemas dengan Daftar Batch,
Print Pack List,Cetak Daftar Paket,
No data was found or you may have reached the maximum limit for print the pack list.,Tidak ada data yang ditemukan atau Anda mungkin telah mencapai batas maksimum untuk mencetak daftar paket.,
Marketplace Order Number,Nomor Pesanan Marketplace,
Mark Confirm Complete,Tandai Konfirmasi Selesai,
Are you sure to confirm ?,Apakah Anda yakin untuk mengkonfirmasi?,
The shipment has been confirmed.,Pengiriman telah dikonfirmasi.,
The shipment status has been updated.,Status pengiriman telah diperbarui.,
Access Forbidden,Akses Dilarang,
The shipment has been reallocated.,Pengiriman telah dialokasikan kembali.,
Notes has been saved.,Catatan telah disimpan.,
Detail Shipment , Pengiriman Detail,
Check Availability,Cek ketersediaan,
Status History,Riwayat Status,
Notes for this Shipment,Catatan untuk Pengiriman ini,
Available Location,Lokasi yang Tersedia,
Email/Mobile,Email/Seluler,
Phone Number,Nomor telepon,
Are you ready for pack ?,Apakah Anda siap untuk berkemas?,
Mark Picked Up Complete,Tandai Diambil Selesai,
Are you sure to picked up this order ?,Apakah Anda yakin akan mengambil pesanan ini?,
Home Delivery Dashboard,Dasbor Pengiriman Rumah,
Print Shipping Label,Cetak Label Pengiriman,
Mark Booking Courier Complete,Tandai Pemesanan Kurir Selesai,
Bulk Shipment,Pengiriman Massal,
Home Delivery - Bulk Shipment,Pengiriman Rumah - Pengiriman Massal,
Bulk Shipment Tutorial,Tutorial Pengiriman Massal,
The shipment has been picked.,Pengiriman telah diambil.,
The shipment has been canceled.,Pengiriman telah dibatalkan.,
The shipment has been packed.,Kiriman telah dikemas.,
The shipment has been shipped.,Kiriman sudah terkirim.,
The shipment has been delivered.,Kiriman sudah terkirim.,
Shipped From,Dikirim dari,
Pick In Progress,Pilih Sedang Berlangsung,
Process for Shipping,Proses Pengiriman,
Pick Incomplete,Pilih Tidak Lengkap,
Ready for Pack,Siap untuk Paket,
Ready for Ship,Siap Dikirim,
Courier Booked,Kurir dipesan,
Order Delivered,Pesanan Terkirim,
Cancel Reason,Alasan Pembatalan,
Access Forbiden,Akses Dilarang,
Reallocating Order,Realokasi Pesanan,
Book $ Courier,Pesan $ Kurir,
Cancel $ Courier,Batalkan $ Kurir,
Booked courier has been canceled,Kurir yang dipesan telah dibatalkan,
Or enter shipping and tracking information,Atau masukkan informasi pengiriman dan pelacakan,
Enter shipping and tracking information,Masukkan informasi pengiriman dan pelacakan,
AWB Number,Nomor AWB,
Track,Melacak,
Track History,Lacak Riwayat,
Mark as Delivered,Tandai sebagai Terkirim,
Shipper Pickup Timeslot,Slot Waktu Pengambilan Pengirim,
Export Without Items.,Ekspor Tanpa Item.,
Export With Items.,Ekspor Dengan Item.,
This feature is used to update shipment from,Fitur ini digunakan untuk memperbarui pengiriman dari,
to,ke,
"and save the AWB number (if any). For this action, please use the CSV file that exported using the","dan simpan nomor AWB (jika ada). Untuk aksi ini, gunakan file CSV yang diekspor menggunakan",
button as a template.,tombol sebagai template.,
Here are the complete steps for bulk shipment:,Berikut adalah langkah-langkah lengkap untuk pengiriman massal:,
"Please prepare a shipment list to upload in CSV format. To download the template, go to the","Harap siapkan daftar pengiriman untuk diunggah dalam format CSV. Untuk mengunduh template, buka",
"tab, select data then click the","tab, pilih data lalu klik",
button and select,tombol dan pilih,
Shipment data will be downloaded into a CSV file.,Data pengiriman akan diunduh ke dalam file CSV.,
"Open the exported file using any supported application, add the AWB number if the shipment is using manually-generated AWB (not from SWIFT OMS). If not, leave this column empty then save the file. Please note that this file required comma-separated values for bulk action. The first row is the column name and below it is the shipment data. For example:","Buka file yang diekspor menggunakan aplikasi apa pun yang didukung, tambahkan nomor AWB jika pengiriman menggunakan AWB yang dibuat secara manual (bukan dari SWIFT OMS). Jika tidak, biarkan kolom ini kosong lalu simpan file tersebut. Harap perhatikan bahwa file ini memerlukan nilai yang dipisahkan koma untuk aksi massal. Baris pertama adalah nama kolom dan di bawahnya adalah data pengiriman. Sebagai contoh:",
Original data:,Data asli:,
Updated data,Data yang diperbarui,
(added AWB number):,(menambahkan nomor AWB):,
Select the file you have exported and updated earlier (.csv format) by clicking,Pilih file yang telah Anda ekspor dan perbarui sebelumnya (format .csv) dengan mengklik,
button to run bulk shipment and please wait till the process is complete. The shipment status will update to,tombol untuk menjalankan pengiriman massal dan silakan tunggu sampai proses selesai. Status pengiriman akan diperbarui menjadi,
when it's completed,ketika sudah selesai,
Marketplace Dashboard,Dasbor Marketplace,
Marketplace - Bulk Update Portcode,Marketplace - Perbarui Portcode Secara Massal,
Marketplace - Bulk Shipment,Marketplace - Pengiriman Massal,
Bulk Confirmed Tutorial,Tutorial Dikonfirmasi Massal,
The Shipment have been exported.,Pengiriman telah diekspor.,
Marketplace Order Status,Status Pesanan Marketplace,
Port,Port,
Export Status History,Ekspor Riwayat Status,
Bulk Confirmed,Dikonfirmasi Massal,
Closed,Tertutup,
Order Closed,Pesanan Ditutup,
Order Canceled,Pesanan Dibatalkan,
Enter Shipping and Tracking Information,Masukkan Informasi Pengiriman dan Pelacakan,
Bulk Confirmed feature is used to confirm allocation status for marketplace shipment. This will update allocation status from,Fitur Bulk Confirmed digunakan untuk mengkonfirmasi status alokasi untuk pengiriman marketplace. Ini akan memperbarui status alokasi dari,
Unconfirmed,Belum dikonfirmasi,
Confirmed.,Dikonfirmasi.,
"For this action, please use the CSV file that exported using the","Untuk aksi ini, gunakan file CSV yang diekspor menggunakan",
Here are the complete steps for bulk confirmation:,Berikut adalah langkah-langkah lengkap untuk konfirmasi massal:,
tab and filter shipment with,tab dan filter pengiriman dengan,
allocation status.,status alokasi.,
"Select shipment data you want to confirm, click the","Pilih data pengiriman yang ingin Anda konfirmasi, klik",
"button, and select","tombol, dan pilih",
Select file you have exported earlier (.csv format) by clicking,Pilih file yang telah Anda ekspor sebelumnya (format .csv) dengan mengklik,
button to run bulk confirmed and please wait till the process is finished. Allocation status for the updated shipment data will be updated automatically to,tombol untuk menjalankan massal dikonfirmasi dan silakan tunggu sampai proses selesai. Status alokasi untuk data pengiriman yang diperbarui akan diperbarui secara otomatis ke,
The bulk Shipment feature is used to update marketplace shipment from,Fitur Pengiriman massal digunakan untuk memperbarui pengiriman marketplace dari,
"Open the exported file using any supported application and add the AWB number if the shipment is using manually-generated AWB (not from SWIFT OMS). If not, leave this column empty then save the file. Please note that this file requires comma-separated values for bulk action. The first row is the column name and below it is the shipment data. For example:","Buka file yang diekspor menggunakan aplikasi apa pun yang didukung dan tambahkan nomor AWB jika pengiriman menggunakan AWB yang dibuat secara manual (bukan dari SWIFT OMS). Jika tidak, biarkan kolom ini kosong lalu simpan file tersebut. Harap perhatikan bahwa file ini memerlukan nilai yang dipisahkan koma untuk aksi massal. Baris pertama adalah nama kolom dan di bawahnya adalah data pengiriman. Sebagai contoh:",
button,tombol,
once it's done.,setelah selesai.,
Updated shipment data will be moved to the,Data pengiriman yang diperbarui akan dipindahkan ke,
Order Shipped - AWB,Pesanan Dikirim - AWB,
tab if using manual AWB or to the,tab jika menggunakan AWB manual atau ke,
Order Shipped - No AWB,Pesanan Dikirim - Tanpa AWB,
tab if using the auto-generated AWB.,tab jika menggunakan AWB yang dibuat secara otomatis.,
Cannot Fulfill,Tidak Dapat Memenuhi,
Channel Order Number,Nomor Pesanan Channel,
Channel Order Date,Tanggal Pemesanan Channel,
Channel Order Date From,Tanggal Pemesanan Channel Dari,
Channel Order Date To,Tanggal Pemesanan Channel Ke,
Recipient Name,Nama penerima,
Airway Bill,Nomor resi,
Customer Info,Informasi Pelanggan,
Pickup Info,Informasi Pengambilan,
Shipping Address,Alamat pengiriman,
Items Ordered,Barang yang Dipesan,
Unit Price,Patokan harga,
Subtotal,Subtotal,
Confirmed,Dikonfirmasi,
Print Pick List,Cetak Daftar Pilihan,
Ready for print ?,Siap untuk dicetak?,
Mark Pick Complete,Tandai Pilih Selesai,
Mark Pack Complete,Tandai Paket Selesai,
Export Without Items,Ekspor Tanpa Item,
Export With Items,Ekspor Dengan Item,
The shipment has been picked up by customer.,Kiriman telah diambil oleh pelanggan.,
Order for curbside pickup at,Pesan untuk Pengambilan di tepi jalan di,
Notes saved,Catatan disimpan,
Pickup At,Pengambilan Di,
Ready for Pickup,Siap untuk Pickup,
Customer,Pelanggan,
Picked Up,Dijemput,
Pick Up Complete,Pengambilan Selesai,
ID/Reference,ID/Referensi,
Picked up on,Dijemput,
Notes for this order,Catatan untuk pesanan ini,
Manage Marketplace,Kelola Marketplace,
Marketplace Warehouse,Gudang Marketplace,
Edit Marketplace Warehouse,Edit Gudang Marketplace,
Marketplace Product Category,Kategori Produk Marketplace,
Update Categories Status,Perbarui Status Kategori,
Marketplace Product Attribute Mapping,Pemetaan Atribut Produk Marketplace,
Marketplace Product Status,Status Produk Marketplace,
Marketplace Product Price,Harga Produk Marketplace,
Marketplace Product Price Import,Impor Harga Produk Marketplace,
Marketplace Product Promo,Promo Produk Marketplace,
Marketplace Product Promo Item,Item Promo Produk Marketplace,
Marketplace Code,Kode Marketplace,
Marketplace Name,Nama Marketplace,
Marketplace Warehouse ID,ID Gudang Marketplace,
Add Warehouse,Tambahkan Gudang,
Warehouse has been saved.,Gudang telah disimpan.,
New Warehouse has been saved.,Gudang Baru telah disimpan.,
Category ID,ID Kategori,
Category Name,Nama Kategori,
Disable,Nonaktif,
Are you sure you want to disable?,Anda yakin ingin menonaktifkan?,
Disable success!,Menonaktifkan sukses!,
"Process is in progress, please wait. Check the progress","Proses sedang berlangsung, mohon ditunggu. Periksa kemajuannya",
here,di sini,
Pull Categories,Tarik Kategori,
Update Status,Memperbarui status,
The category has been saved.,Kategori telah disimpan.,
Marketplace Category,Kategori Marketplace,
Marketplace Attribute Name,Nama Atribut Marketplace,
Attribute Code,Kode Atribut,
Delete Mapping,Hapus Pemetaan,
Add New Mapping,Tambahkan Pemetaan Baru,
Export Marketplace Product Attributes,Atribut Produk Marketplace Ekspor,
Import Mapping,Impor Pemetaan,
New mapping has been saved.,Pemetaan baru telah disimpan.,
Minimum,Minimum,
Maximum,Maksimum,
variant attribute,atribut varian,
variant attribute need mapping,atribut varian perlu pemetaan,
Please remove,Tolong di hapus,
New Mapping,Pemetaan Baru,
Marketplace Data,Data Marketplace,
Category,Kategori,
Select Marketplace First,Pilih Marketplace Terlebih Dahulu,
Product Attributes,Atribut Produk,
Select Category First,Pilih Kategori Pertama,
Show mandatory attribute,Tampilkan atribut wajib,
Input Type,Tipe masukan,
Mapping To,Pemetaan Ke,
Product Attribute,Atribut Produk,
List of mandatory attributes (need mapping),Daftar atribut wajib (perlu pemetaan),
Marketplace Store ID,ID Toko Marketplace,
Marketplace Status,Status Marketplace,
Update to marketplace,Perbarui ke marketplace,
Are you sure you want to update?,Apakah Anda yakin ingin memperbarui?,
The price has been updated to the marketplace.,Harga telah diperbarui ke marketplace.,
Import,Impor,
Marketplace product price has been uploaded,Harga produk Marketplace telah diupload,
Channel Store ID,ID Toko Channel,
Promo Name,Nama Promo,
Start Date,Mulai tanggal,
End Date,Tanggal Akhir,
Start Date From,Tanggal Mulai Dari,
